ID,NOMBRE,PUESTO,SALARIO,H.E MENSUALES,SALARIO TOTAL
A001,Andres Anchapaxi,CEO,1564,15,1639
A002,Maria Lopez,GERENTE DE LOGISTICA,2675,6,2705
A003,Pedro Rodriguez,GERENTE DE OPERACIONES,1107,4,1127
A004,Ana Martinez,GERENTE DE COMPRAS,4523,12,4583
A005,Luis Hernandez,GERENTE DE OPERACIONES,3128,11,3183
A006,Laura Gonzalez,DIRECTOR DE OPERACIONES,5096,7,5131
A007,Carlos Perez,DIRECTOR COMERCIAL,4867,1,4872
A008,Sandra Torres,GERENTE DE VENTAS,2284,13,2349
A009,Alejandro Ramirez,GERENTE DE EXPORTACIONES/IMPORTACIONES,1036,2,1046
A010,Andrea Castro,VENDEDOR,4395,10,4445
A011,Javier Vargas,GERENTE DE CUENTAS,2187,8,2227
A012,Gabriela Jimenez,VENDEDOR,674,3,689
A013,Ricardo Silva,DIRECTOR DE RECURSOS HUMANOS,3752,5,3777
A014,Natalia Rios,GERENTE DE CALIDAD,1562,0,1562
A015,Manuel Sanchez,SUPERVISOR DE VENTAS,4980,14,5050
A016,Patricia Reyes,VENDEDOR,821,6,851
A017,Andres Mendoza,ASISTENTE DE LOGISTICA,4331,9,4376
A018,Carolina Cruz,ASISTENTE DE MARKETING,2054,1,2059
A019,Francisco Navarro,ASISTENTE ADMINISTRATIVO,1505,13,1570
A020,Beatriz Morales,VENDEDOR,4765,2,4775
A021,Eduardo Figueroa,GERENTE DE OPERACIONES,2899,4,2919
A022,Paula Nunez,VENDEDOR,668,11,723
A023,Sebastian Ortega,CAJERO,934,7,969
A024,Valentina Medina,CAJERO,670,12,730
A025,Daniel Herrera,VENDEDOR,901,10,951
A026,Camila Escobar,ANALISTA DE MERCADO,4698,0,4698
A027,Martin Salazar,CAJERO,2447,3,2462
A028,Isabella Rojas,CAJERO,579,8,619
A029,Guillermo Paredes,VENDEDOR,812,5,837
A030,Eduardo Lopez,PRESIDENTE COMERCIAL,1346,14,1416
A031,Mayra Moreta,AMINISTRADORA DE CUENTAS,15500,30,15650
A030,Victoria Pan,RESPONSABLE DE ATENCION AL CLIENTE,$1.346,14,$1.416
